Title,Original Price,Promotional Price,Psplus Price,url_games
The Walking Vegetables: Radical Edition,"R$ 179,90","R$ 20,97","R$ 20,97",/ps4-store-br/the-walking-vegetables-radical-edition-game-39180/
Anthem™ - Edição Legião da Alvorada,"R$ 179,90","R$ 52,48","R$ 52,48",/ps4-store-br/anthem-edicao-legiao-da-alvorada-game-39186/
Quase Lá: O jogo de plataforma,"R$ 179,90","R$ 8,08","R$ 5,38",/ps4-store-br/quase-la-o-jogo-de-plataforma-game-39200/
JUMP FORCE,"R$ 179,90","R$ 74,97","R$ 74,97",/ps4-store-br/jump-force-game-39208/
Metro Exodus,"R$ 179,90","R$ 49,47","R$ 49,47",/ps4-store-br/metro-exodus-game-39210/
Degrees of Separation,"R$ 179,90","R$ 20,98","R$ 20,98",/ps4-store-br/degrees-of-separation-game-39213/
The Liar Princess and the Blind Prince,"R$ 179,90","R$ 49,75","R$ 49,75",/ps4-store-br/the-liar-princess-and-the-blind-prince-game-39226/
RIOT - Civil Unrest,"R$ 179,90","R$ 29,85","R$ 29,85",/ps4-store-br/riot-civil-unrest-game-39248/
Necrosphere Deluxe,"R$ 179,90","R$ 21,45","R$ 21,45",/ps4-store-br/necrosphere-deluxe-game-39259/
RESIDENT EVIL 2,"R$ 179,90","R$ 79,80","R$ 79,80",/ps4-store-br/resident-evil-2-game-39270/
ACE COMBAT™ 7: SKIES UNKNOWN,"R$ 179,90","R$ 62,47","R$ 62,47",/ps4-store-br/ace-combat-7-skies-unknown-game-39287/
SWORD ART ONLINE: FATAL BULLET Edição Completa,"R$ 179,90","R$ 69,98","R$ 69,98",/ps4-store-br/sword-art-online-fatal-bullet-edicao-completa-game-39289/
Hitman HD Enhanced Collection,"R$ 179,90","R$ 79,97","R$ 79,97",/ps4-store-br/hitman-hd-enhanced-collection-game-39304/
Tales of Vesperia™: Edição Definitiva,"R$ 179,90","R$ 47,90","R$ 47,90",/ps4-store-br/tales-of-vesperia-edicao-definitiva-game-39306/
BLUE REFLECTION,"R$ 179,90","R$ 149,95","R$ 149,95",/ps4-store-br/blue-reflection-game-39313/
Desert Child,"R$ 179,90","R$ 32,25","R$ 25,80",/ps4-store-br/desert-child-game-39349/
PLAYERUNKNOWN’S BATTLEGROUNDS,"R$ 179,90","R$ 49,33","R$ 49,33",/ps4-store-br/playerunknowns-battlegrounds-game-39366/
Jagged Alliance: Rage!,"R$ 179,90","R$ 37,47","R$ 24,98",/ps4-store-br/jagged-alliance-rage-game-39368/
Mutant Year Zero: Road to Eden,"R$ 179,90","R$ 57,96","R$ 57,96",/ps4-store-br/mutant-year-zero-road-to-eden-game-39383/
Override: Mech City Brawl,"R$ 179,90","R$ 52,45","R$ 52,45",/ps4-store-br/override-mech-city-brawl-game-39384/
Override: Mech City Brawl - Super Charged Mega Edition,"R$ 179,90","R$ 79,95","R$ 79,95",/ps4-store-br/override-mech-city-brawl-super-charged-mega-edition-game-39385/
Darksiders III,"R$ 179,90","R$ 68,97","R$ 53,97",/ps4-store-br/darksiders-iii-game-39404/
Darksiders III Blades and Whip Edition,"R$ 179,90","R$ 99,90","R$ 99,90",/ps4-store-br/darksiders-iii-blades-and-whip-edition-game-39413/
Darksiders III Digital Deluxe Edition,"R$ 179,90","R$ 79,90","R$ 79,90",/ps4-store-br/darksiders-iii-digital-deluxe-edition-game-39414/
Farming Simulator 19,"R$ 179,90","R$ 74,75","R$ 74,75",/ps4-store-br/farming-simulator-19-game-39420/
Farming Simulator 19 - Premium Edition,"R$ 179,90","R$ 149,70","R$ 149,70",/ps4-store-br/farming-simulator-19-premium-edition-game-39421/
Fallout 76,"R$ 179,90","R$ 52,76","R$ 52,76",/ps4-store-br/fallout-76-game-39432/
Aces of the Luftwaffe - Squadron Extended Edition,"R$ 179,90","R$ 66,95","R$ 53,56",/ps4-store-br/aces-of-the-luftwaffe-squadron-extended-edition-game-39435/
Chimparty,"R$ 179,90","R$ 52,45","R$ 52,45",/ps4-store-br/chimparty-game-39436/
HITMAN™ 2,"R$ 179,90","R$ 49,99","R$ 49,99",/ps4-store-br/hitman-2-game-39439/
Knowledge is Power:Decades,"R$ 179,90","R$ 52,45","R$ 52,45",/ps4-store-br/knowledge-is-powerdecades-game-39440/
HITMAN 2 - Edição Ouro,"R$ 399,99","R$ 79,99","R$ 79,99",/ps4-store-br/hitman-2-edicao-ouro-game-39448/
Tetris® Effect,"R$ 399,99","R$ 99,75","R$ 99,75",/ps4-store-br/tetris-effect-game-39451/
The Sims™ 4 + Gatos e Cães – Bundle,"R$ 399,99","R$ 49,74","R$ 49,74",/ps4-store-br/the-sims-4-gatos-e-caes-bundle-game-39472/
Chicken Range,"R$ 399,99","R$ 29,99","R$ 24,99",/ps4-store-br/chicken-range-game-39486/
